10 ,9.85,70.18,11,45,Pilot
10 ,9.89,79.33,12,45,Paternity
10 ,8.77,78.88,13,45,Occam's Razor
10 ,9.38,69.69,14,45,Maternity
10 ,9.82,77.95,15,45,Damned If You Do
10 ,9.33,75.88,16,45,The Socratic Method
10 ,9.46,74.91,17,45,Fidelity
10 ,9.78,69.44,18,45,Poison
10 ,8.54,72.34,19,45,DNR
10 ,9.47,69.22,110,45,Histories

10 ,9.85,70.18,11,45,Pilot
10 ,9.89,79.33,12,45,Paternity
10 ,8.77,78.88,13,45,Occam's Razor
10 ,9.38,69.69,14,45,Maternity
10 ,9.82,77.95,15,45,Damned If You Do
10 ,9.33,75.88,16,45,The Socratic Method
10 ,9.46,74.91,17,45,Fidelity
10 ,9.78,69.44,18,45,Poison
10 ,8.54,72.34,19,45,DNR
10 ,9.47,69.22,110,45,Histories
10 ,9.88,84.56,11,45,Christmas special

10 ,9.89,79.33,12,45,Paternity
10 ,8.77,78.88,13,45,Occam's Razor
10 ,9.38,69.69,14,45,Maternity
10 ,9.82,77.95,15,45,Damned If You Do
10 ,9.33,75.88,16,45,The Socratic Method
10 ,9.46,74.91,17,45,Fidelity
10 ,9.78,69.44,18,45,Poison
10 ,8.54,72.34,19,45,DNR
10 ,9.47,69.22,110,45,Histories
10 ,9.88,84.56,11,45,Christmas special

